Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Boost target (PSI),Coolant (*C),Exhaust flap status,Gear (-),IAT (*C),Lambda bank 1 (AFR),Load act. (%),Load req. (%),MAF (g/s),Oil temp (*C),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),Speed (km/h),STFT 1 (%),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),Torque act. clutch (Nm),Transmission temp (*C),WGDC (%),Boost setpoint factor,Boost target RAM (PSI),Compressor after P-D (kW),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Load actual RAM,MAF REQ (P corr.) (g/s),MAF req. WGDC (g/s),Mdk_max_gs (NM),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),MHD version 3.87 000021571DAA01 v1.08 stg2 plus 93_98
6.336,14.64,29,1.6,0.2,86,0,6,32,14.58,58.5,60.2,27.3,94,2910.6,2900.3,1442,86,1.5,14.2,13.5,13.5,13.5,13.5,13.5,13.5,170,61,90.9,1.03,0.8,0.1,0,0,0,0,0,0,58.1,29.9,30.08,1000,0,0,0,0
6.436,14.64,29,1.5,0.8,86,0,6,32,14.45,58.5,60.2,27.5,94,2902.6,2900.3,1458,86,0.8,14.9,14,14,14,14,14,14,164,61,90.9,1.05,0.8,0.1,0,0,0,0,0,0,59.5,30.18,29.97,1000,0,0,0,0
6.536,14.64,27.5,1.4,0.6,86,0,6,32,14.38,59.2,59,28.1,94,2896.5,2896.6,1470,86,0.2,15.6,13.5,13.5,13.5,13.5,13.5,13.5,168,61,91.2,1.04,0.5,0.1,0,0,0,0,0,0,58,29.39,29.58,1000,0,0,0,0
6.636,14.64,26.3,1.4,0.5,86,0,6,32,14.42,55.5,56.2,26.1,94,2887.6,2872,1458,86,-0.2,14.1,15.5,15.5,15.5,15.5,15.5,15.5,166,61,92.3,1.04,0.6,0.1,0,0,0,0,0,0,54.4,27.53,28.19,1000,0,0,0,0
6.735,14.64,26.3,1.4,0.6,86,0,6,32,14.48,54,54.9,25.3,94,2855.9,2837.6,1442,86,-0.5,14.2,16,16,16,16,16,16,154,61,92.8,1.04,0.6,0.1,0,0,0,0,0,0,54.2,27.64,27.39,1000,0,0,0,0
6.831,14.64,27.1,1.3,0.6,86,0,6,32,14.48,54.8,55.7,25.8,94,2831.7,2823.8,1456,86,-0.9,14.6,16,16,16,16,16,16,152,61,92.1,1.05,0.7,0.1,0,0,0,0,0,0,56.2,29.24,27.99,1000,0,0,0,0
6.934,14.64,27.5,1.2,1.1,86,0,6,32,14.52,57.8,58.2,27.6,94,2826.1,2855.2,1472,86,-1.1,17.3,14.5,14.5,14.5,14.5,14.5,14.5,158,61,91.6,1.07,1,0.2,0,0,0,0,0,0,59.2,29.9,28.97,1000,0,0,0,0
7.034,14.64,27.5,1.2,0.8,86,0,6,32,14.59,58.5,58.6,28.3,94,2857.2,2869.9,1484,86,-1,16.7,14,14,14,14,14,14,166,61,91.4,1.06,0.8,0.2,0,0,0,0,0,0,58.9,29.85,29.44,1000,0,0,0,0
7.134,14.64,27.5,1.2,0.8,86,0,6,32,14.82,58.5,58.4,27.8,94,2865.4,2871.7,1472,86,-0.2,16.5,13.5,13.5,13.5,13.5,13.5,13.5,168,61,91.5,1.06,0.7,0.2,0,0,0,0,0,0,58.7,29.45,29.33,1000,0,0,0,0
7.232,14.64,27.5,1.2,0.6,86,0,6,32,14.94,57.8,58.3,27.5,94,2855.7,2869.9,1466,86,0.5,16,13.5,13.5,13.5,13.5,13.5,13.5,167,61,91.5,1.05,0.6,0.1,0,0,0,0,0,0,58.2,29.43,29.17,1000,0,0,0,0
7.340,14.64,27.5,1.2,0.6,86,0,6,32,14.94,57.8,58.4,27.5,94,2863.8,2869,1468,86,2.5,15.9,14,14,14,14,14,14,166,61,91.5,1.05,0.6,0.1,0,0,0,0,0,0,58.1,29.62,29.24,1000,0,0,0,0
7.434,14.64,27.5,1.2,0.6,86,0,6,32,14.86,57.8,58.3,27.6,94,2865.2,2868.9,1471,86,3.4,16,14,14,14,14,14,14,166,61,91.5,1.04,0.6,0.1,0,0,0,0,0,0,58.3,29.63,29.29,1000,0,0,0,0
7.536,14.64,27.5,1.2,0.5,86,0,6,32,14.7,57.8,58.3,27.6,94,2869.5,2868.7,1472,86,3.9,16.1,14,14,14,14,14,14,166,61,91.5,1.04,0.5,0.1,0,0,0,0,0,0,58.3,29.61,29.29,1000,0,0,0,0
7.637,14.64,27.5,1.2,0.5,86,0,6,32,14.7,57.8,58.3,27.6,94,2868.9,2868.3,1470,85,4.6,16.1,14,14,14,14,14,14,166,61,91.5,1.04,0.5,0.1,0,0,0,0,0,0,58.2,29.46,29.23,1000,0,0,0,0
7.736,14.64,27.5,1.2,0.5,86,0,6,32,14.57,57.8,58.2,27.4,94,2869.7,2867.5,1467,85,4,16.1,14,14,14,14,14,14,166,61,91.5,1.04,0.6,0.1,0,0,0,0,0,0,58,29.69,29.19,1000,0,0,0,0
7.833,14.64,27.8,1.2,0.7,86,0,6,32,14.53,57.8,58.7,27.4,94,2872.3,2871.9,1463,85,3.9,16.6,14,14,14,14,14,14,166,61,91.4,1.05,0.7,0.1,0,0,0,0,0,0,58.4,29.63,29.29,1000,0,0,0,0
7.934,14.64,28.2,1.2,0.7,86,0,6,32,14.52,57.8,58.7,27.6,94,2880.4,2873.7,1466,86,3.5,16.7,14,14,14,14,14,14,166,61,91.2,1.05,0.9,0.1,0,0,0,0,0,0,59.1,30.21,29.54,1000,0,0,0,0
8.031,14.64,28.6,1.2,0.8,86,0,6,32,14.68,60,59.8,28.4,94,2892.1,2890.2,1469,86,3.8,17.9,13.5,13.5,13.5,13.5,13.5,13.5,168,61,91,1.06,0.8,0.2,0,0,0,0,0,0,60,30.43,29.89,1000,0,0,0,0
8.135,14.64,28.6,1.2,0.8,86,0,6,32,14.76,60,60,28.6,94,2900.1,2897.4,1474,86,4.1,17.7,13,13,13,13,13,13,171,61,91,1.06,0.8,0.2,0,0,0,0,0,0,60.1,30.44,30.08,1000,0,0,0,0
8.234,14.64,28.6,1.2,0.8,86,0,6,32,14.86,59.2,60,28.3,94,2905.5,2899.2,1470,86,4.7,17.4,13,13,13,13,13,13,172,61,91,1.06,0.7,0.2,0,0,0,0,0,0,59.8,30.43,30.07,1000,0,0,0,0
8.352,14.64,28.6,1.2,0.7,86,0,6,32,14.87,59.2,59.8,28.3,94,2893.7,2898.4,1470,86,7,17.4,13.5,13.5,13.5,13.5,13.5,13.5,171,61,91,1.05,0.7,0.2,0,0,0,0,0,0,59.7,30.39,30.04,1000,0,0,0,0
